INT	INT	INT	INT	INT	STRING	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT
index	class	quality	Type	GemIndex	资源编号	适应规则	名称$1$	说明信息$1$	基本价格	出售价格	增加HP的上限	百分比增加HP的上限	加快HP的回复速度	增加MP的上限	百分比增加MP的上限	加快MP的回复速度	冰攻击	冰抵抗	减少冰冻迟缓时间	火攻击	火抵抗	减少火烧持续时间	玄攻击	玄抵抗	减少电击眩晕时间	毒攻击	毒抵抗	减少中毒时间	按百分比抵消所有属性攻击	物理攻击	按百分比增加物理攻击	对装备基础物理攻击百分比加成	物理防御	按百分比增加物理防御	对装备基础物理防御百分比加成	按百分比抵消物理伤害	魔法攻击	按百分比增加魔法攻击	对装备基础魔法攻击百分比加成	魔法防御	按百分比增加魔法防御	对装备基础魔法防御百分比加成	按百分比抵消魔法伤害	攻击速度(两次攻击间隔时间)	魔法冷却速度	命中	闪避	会心一击（双倍攻击）的百分比	无视对方防御比率	移动速度百分比	伤害反射	伤害由内力抵消	力量	灵气	体质	定力	身法	悟性	增加所有的人物一级属性	生命偷取	内力偷取	增加某个魔法等级	增加所有魔法等级	特殊魔法发动概率	降低目标冰抵抗	降低目标火抵抗	降低目标玄抵抗	降低目标毒抵抗	基础物理攻击	基础魔法攻击	基础命中	基础物理防御	基础魔法防御	基础闪避	颜色值(R,G,B,A) 	类型描述$1$	特效索引	颜色	是否广播
50101001	5	1	1	1	Gem1_2_4	1	猫眼石(1级)	象猫眼一样的宝石，可以镶嵌在攻击性装备(武器、护腕、戒指、护符、项链、暗器)上，使用后不可再镶嵌同类宝石。#r#G希望宝石	100000	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	127	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF09	希望宝石	1	2004	1
50101002	5	1	1	2	Gem1_1_1	1	虎眼石(1级)	象虎眼一样的宝石，可以镶嵌在攻击性装备(武器、护腕、戒指、护符、项链、暗器)上，使用后不可再镶嵌同类宝石。#r#G希望宝石	100000	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	127	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF0B	希望宝石	2	2004	1
50102001	5	1	2	1	Gem1_1_3	1	黄晶石(1级)	黄色的晶石，可以镶嵌在攻击性装备(武器、护腕、戒指、护符、项链、暗器)上，使用后不可再镶嵌同类宝石。#r#G智慧宝石#W#r可在#G洛阳（179，182）#R宝石工匠彭怀玉#W处使用#G1级宝石雕琢符#W提升宝石属性。#r本宝石只能雕琢一次。	100000	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF0B	智慧宝石	3	2004	1
50102002	5	1	2	2	Gem1_1_4	1	蓝晶石(1级)	蓝色的晶石，可以镶嵌在攻击性装备(武器、护腕、戒指、护符、项链、暗器)上，使用后不可再镶嵌同类宝石。#r#G智慧宝石#W#r可在#G洛阳（179，182）#R宝石工匠彭怀玉#W处使用#G1级宝石雕琢符#W提升宝石属性。#r本宝石只能雕琢一次。	100000	1000	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF0B	智慧宝石	4	2004	1
50102003	5	1	2	3	Gem1_1_5	1	红晶石(1级)	红色的晶石，可以镶嵌在攻击性装备(武器、护腕、戒指、护符、项链、暗器)上，使用后不可再镶嵌同类宝石。#r#G智慧宝石#W#r可在#G洛阳（179，182）#R宝石工匠彭怀玉#W处使用#G1级宝石雕琢符#W提升宝石属性。#r本宝石只能雕琢一次。	100000	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF0B	智慧宝石	5	2004	1
50102004	5	1	2	4	Gem1_1_6	1	绿晶石(1级)	绿色的晶石，可以镶嵌在攻击性装备(武器、护腕、戒指、护符、项链、暗器)上，使用后不可再镶嵌同类宝石。#r#G智慧宝石#W#r可在#G洛阳（179，182）#R宝石工匠彭怀玉#W处使用#G1级宝石雕琢符#W提升宝石属性。#r本宝石只能雕琢一次。	100000	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF0B	智慧宝石	6	2004	1
50102005	5	1	2	5	Gem1_2_5	1	纯净黄晶石(1级)	纯净的黄晶石，可以镶嵌在攻击性装备(武器、护腕、戒指、护符、项链、暗器)上，使用后不可再镶嵌同类宝石。#r#G智慧宝石#r雕琢过的宝石不能再雕琢。#r#W使用三颗此种宝石，和一个#G宝石熔炼符#W，能够熔炼成一颗对应的同等级胜利宝石。	300000	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF0B	智慧宝石	14	2004	1
50102006	5	1	2	6	Gem1_2_9	1	纯净蓝晶石(1级)	纯净的蓝晶石，可以镶嵌在攻击性装备(武器、护腕、戒指、护符、项链、暗器)上，使用后不可再镶嵌同类宝石。#r#G智慧宝石#r雕琢过的宝石不能再雕琢。#r#W使用三颗此种宝石，和一个#G宝石熔炼符#W，能够熔炼成一颗对应的同等级胜利宝石。	300000	2000	-1	-1	-1	-1	-1	-1	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF0B	智慧宝石	15	2004	1
50102007	5	1	2	7	Gem1_2_13	1	纯净红晶石(1级)	纯净的红晶石，可以镶嵌在攻击性装备(武器、护腕、戒指、护符、项链、暗器)上，使用后不可再镶嵌同类宝石。#r#G智慧宝石#r雕琢过的宝石不能再雕琢。#r#W使用三颗此种宝石，和一个#G宝石熔炼符#W，能够熔炼成一颗对应的同等级胜利宝石。	300000	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF0B	智慧宝石	16	2004	1
